,ID,comments,cleaned_comments
2977,zVuuooZqVaU,I cry like a baby.,cri like babi
2978,zVuuooZqVaU,They forget to mention that this is NOT a &quot;happy end movie &quot;.. She gets hit by a bus in the end -_-,forget mention quot happi end movi quot get hit bu end
2979,zVuuooZqVaU,this movie really crush my heart,movi realli crush heart
2980,zVuuooZqVaU,My dear friend.. I miss you so much.. Every time I watch this I think of us..,dear friend miss much everi time watch think us
2981,zVuuooZqVaU,Heartbreaking,heartbreak
2982,zVuuooZqVaU,its so beautiful,beauti
2983,zVuuooZqVaU,this movie killed me omg. I cried for an hour straight.,movi kill omg cri hour straight
2984,zVuuooZqVaU,it&#39;s on my channel,channel
2985,zVuuooZqVaU,truly touching and beautiful movie. watched it again and cried again :&#39;(,truli touch beauti movi watch cri
2986,zVuuooZqVaU,I read the book. This is so beautiful. :),read book beauti
2987,zVuuooZqVaU,It&#39;s make me cry soo badly,make cri soo badli
2988,zVuuooZqVaU,Otra más a mi lista de favoritas...,otra mi lista de favorita
2989,zVuuooZqVaU,"I was watching this in my room, with all the lights turned off, on my bed, lying down... then suddenly my dad came and looked at me... he was shocked... &lt;don&#39;t know why!!!&gt; I was bit worried... but he asked, &quot;Did you just wake up?&quot; &lt;ahahahaa....&gt; I thought that he would make fun of me... that I cried... psshh.... JUST wanna say... this movie is goood... really good... about true love!!! every time I look at Dexter my tears would fall... felt sorry for him for being too lonely, getting old without Emma!!! I don&#39;t really like sad movies where I would cry because it makes me fall in love with a character who is lonely!!! &lt;doesn&#39;t make sense huh!!!&gt;",watch room light turn bed lie suddenli dad came look shock lt know gt bit worri ask quot wake quot lt ahahahaa gt thought would make fun cri psshh wan na say movi goood realli good true love everi time look dexter tear would fall felt sorri lone get old without emma realli like sad movi would cri make fall love charact lone lt make sens huh gt
2990,zVuuooZqVaU,This movie is so sad and upsetting but it&#39;s perfect :(,movi sad upset perfect
2991,zVuuooZqVaU,"I dunno I normally like Anne Hathaway but in this I feel that her accent just doesn&#39;t work, and I really really think she suits long hair x",dunno normal like ann hathaway feel accent work realli realli think suit long hair x
2992,zVuuooZqVaU,I have a feeling that if I watch this im just gonna be distracted by Anne&#39;s bad accent...,feel watch im gon na distract ann bad accent
2993,zVuuooZqVaU,Best romantic movie ever. I was crying so hard at the end.,best romant movi ever cri hard end
2994,zVuuooZqVaU,Not a big fan of romantic movies but I really like this one. And it&#39;s such a sad one!,big fan romant movi realli like one sad one
2995,zVuuooZqVaU,dont read the comments there&#39;s a spoiler,dont read comment spoiler
2996,zVuuooZqVaU,It&#39;s the first time that the movie is better than a trailer... 3,first time movi better trailer
2997,zVuuooZqVaU,&quot;Those who can Do and Those who cant Teach&#39;&#39; that&#39;s how I feel about my art teacher,quot cant teach feel art teacher
2998,zVuuooZqVaU,Fuck this fucking movies!! It always make me cry each time i watch it!! Damm!!!,fuck fuck movi alway make cri time watch damm
2999,zVuuooZqVaU,It didn&#39;t show when she got hit by a bus.,show got hit bu
3000,zVuuooZqVaU,One of those trailers that basically shows the whole movie &gt;.&gt;,one trailer basic show whole movi gt gt
3001,zVuuooZqVaU,somebody needs to upload the whole thing,somebodi need upload whole thing
3002,zVuuooZqVaU,Yeah and at the end of the movie sh gets hit by a bus,yeah end movi sh get hit bu
3003,zVuuooZqVaU,&lt;3 $,lt
3004,zVuuooZqVaU,"such a powerful movie, i cried all the time:)",power movi cri time
3005,zVuuooZqVaU,What a beautiful film!! 15 of July is my B-day btw :),beauti film juli b day btw
3006,zVuuooZqVaU,túl helyes,l hely
3007,zVuuooZqVaU,my favourite movie,favourit movi
3008,zVuuooZqVaU,Hermosa pelicula *-* #Re-Like #Re-like #Favorite C:,hermosa pelicula like like favorit c
3009,zVuuooZqVaU,I will see that movie tonight !!!!! I am so excited !!!! can&#39;t wait,see movi tonight excit wait
3010,zVuuooZqVaU,I love this movie so much *-* !! Even the trailer made me cry :&#39;! And this actors are so talented and gorgeous &lt;3!,love movi much even trailer made cri actor talent gorgeou lt
3011,zVuuooZqVaU,"One of the few movies that does not involve suffering animals, but at which I cried a lot...",one movi involv suffer anim cri lot
3013,zVuuooZqVaU,"remains to be one of my favorite romance movies.. plus, GOOD LIFE!!! Just, Simply Awesome..",remain one favorit romanc movi plu good life simpli awesom
3014,zVuuooZqVaU,"Lovely movie, a Little sad, but my favorite.",love movi littl sad favorit
3015,zVuuooZqVaU,this movie was so amazing and sad. &lt;3,movi amaz sad lt
3016,zVuuooZqVaU,I love this movie :&#39;),love movi
3017,zVuuooZqVaU,i really love this movie! anne hatheway is just such an amazing actress! this was one of thee best romance movie i&#39;ve watched! it definitely doesn&#39;t sugar coat anything and displays realisticness and reality.,realli love movi ann hatheway amaz actress one thee best romanc movi watch definit sugar coat anyth display realist realiti
3018,zVuuooZqVaU,"What ever happens tomorrow we had today, I&#39;ll always remember it...",ever happen tomorrow today alway rememb
3019,zVuuooZqVaU,hate the ending .. :(,hate end
3020,zVuuooZqVaU,So love the film and the book!!!,love film book
3021,zVuuooZqVaU,I just finished reading the book and now I really want to see the movie!,finish read book realli want see movi
3022,zVuuooZqVaU,i just saw this for the third time,saw third time
3027,zVuuooZqVaU,"This movie makes me fucking cry... :( so sad, I love it &lt;3",movi make fuck cri sad love lt
3028,zVuuooZqVaU,Perfect!,perfect
3029,zVuuooZqVaU,Best movie ever...v.touching,best movi ever v touch
3030,zVuuooZqVaU,she die :(,die
3031,zVuuooZqVaU,"It is soo good :) Really like it , but sad!",soo good realli like sad
3032,zVuuooZqVaU,Oh man I was bored one day and decided to watch this movie and omg I can&#39;t believe how much I fell in love with Dexter from the start. With this movie I suggest having a tissue box around,oh man bore one day decid watch movi omg believ much fell love dexter start movi suggest tissu box around
3033,zVuuooZqVaU,I&#39;ve always been curious about this movie? Is it good???,alway curiou movi good
3034,zVuuooZqVaU,I just hate this movie. Fvck. Makes me cry.,hate movi fvck make cri
3035,zVuuooZqVaU,"15 July 2013 , one day",juli one day
3036,zVuuooZqVaU,Best romance movie i&#39;ve ever seen. I just watched this twice!,best romanc movi ever seen watch twice
3037,zVuuooZqVaU,Great movie!,great movi
3038,zVuuooZqVaU,@aerr87 Yes it&#39;s not in the movie! I watched the trailer before the movie and I kept waiting for that scene but it never came up. I think having dex&#39;s mom&#39;s approval would&#39;ve been awesome too,aerr ye movi watch trailer movi kept wait scene never came think dex mom approv would awesom
3039,zVuuooZqVaU,I&#39;m so gonna watch this again,gon na watch
3040,zVuuooZqVaU,My favourite book and my favourite film. Love it! Makes me cry every time.,favourit book favourit film love make cri everi time
3041,zVuuooZqVaU,"this is truly my favorite movie EVER... its just wow, amazing",truli favorit movi ever wow amaz
3042,zVuuooZqVaU,Doesn&#39;t touch the book!,touch book
3043,zVuuooZqVaU,This movie... is just stunning.,movi stun
3044,zVuuooZqVaU,"WHYWHYWHYWHYWHY!! this is a really good movie, you really don&#39;t know how it&#39;s gonna end, but OH MY GOODNESS it&#39;s just a tear fest",whywhywhywhywhi realli good movi realli know gon na end oh good tear fest
3045,zVuuooZqVaU,"is it just me or the dialogue between 00:58 and 01:05 is not in the movie? It would have been great, I don&#39;t know why they cut it off from the movie.",dialogu movi would great know cut movi
3046,zVuuooZqVaU,Love the movie! Trailer isn&#39;t too good though.,love movi trailer good though
3047,zVuuooZqVaU,"JUST FINISHED THIS MOVIE OMG SO WORTH IT((: everyone seriously needs to watch this if you like those kinds of love stories and romantic stuff, honestly",finish movi omg worth everyon serious need watch like kind love stori romant stuff honestli
3048,zVuuooZqVaU,i really don&#39;t like their pick for Emma :(,realli like pick emma
3049,zVuuooZqVaU,mmm I think I&#39;m about to watch this movie for the 10000000th time,mmm think watch movi th time
3050,zVuuooZqVaU,any knows what is the song used in the beginning?,know song use begin
3051,zVuuooZqVaU,such a freakkkkkkin great movie,freakkkkkkin great movi
3052,zVuuooZqVaU,double ditto,doubl ditto
3053,zVuuooZqVaU,Ditto,ditto
3054,zVuuooZqVaU,my favourite movie!,favourit movi
3055,zVuuooZqVaU,she gets hit by a bus,get hit bu
3056,zVuuooZqVaU,The movie of my life...,movi life
3057,zVuuooZqVaU,Brear,brear
3058,zVuuooZqVaU,"me encanta el chico, se parece a un ex novio que tenia!! super lindo",encanta el chico se parec un ex novio que tenia super lindo
3059,zVuuooZqVaU,"for some reason this movie has stayed with me ever since I saw it last year and I think about it a lot, but I never want to see it again baha, even though I think I really, really quite liked it.",reason movi stay ever sinc saw last year think lot never want see baha even though think realli realli quit like
3060,zVuuooZqVaU,whoa! I think I&#39;ve heard the line &quot;I love you but I don&#39;t like you anymore&quot;,whoa think heard line quot love like anymor quot
3061,zVuuooZqVaU,La cancion es de One Republic y se llama &quot;Good life&quot;,la cancion es de one republ se llama quot good life quot
3062,zVuuooZqVaU,Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta Me encanta.,encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta encanta
3063,zVuuooZqVaU,como amo esta pelicula me encanta,como amo esta pelicula encanta
3064,zVuuooZqVaU,como se llama la cancion que aparece en el minuto 1:47 ???? la necesitooo alguien me puede decir?,como se llama la cancion que aparec en el minuto la necesitooo alguien pued decir
3065,T4_wHfz2qUA,I facepalmed so many times during this trailer.,facepalm mani time trailer
3066,T4_wHfz2qUA,Einstein was wrong. This is the definition of insanity,einstein wrong definit insan
3067,T4_wHfz2qUA,this trailer was not bad  ..!!  Picollo 1 hand  destroyed a entire city !,trailer bad picollo hand destroy entir citi
3068,T4_wHfz2qUA,This should not exist. Why does this exist??,exist exist
3069,T4_wHfz2qUA,Shitty,shitti
3070,T4_wHfz2qUA,Fucked up movie,fuck movi
3071,T4_wHfz2qUA,is that a mater Roshi Hehas no hair but in this one he has hair,mater roshi heha hair one hair
3072,T4_wHfz2qUA,"The last air bender was light years better than this, and it was very bad",last air bender light year better bad
3073,T4_wHfz2qUA,I guess u can call this the real life version on dragon ball z.....<br><br><br><br><br><br><br><br><b>i guess</b>,guess u call real life version dragon ball z guess
